city,country,population,area,pollutant,year,emissions
Kabul,Afghanistan,4604344.157,707,CO,1970,4174.071777
Oran,Algeria,1332318.687,465,CO,1970,1.651054621
Algiers,Algeria,4921385.25,1802,CO,1970,8.811347961
Luanda,Angola,7308152.208,1941,CO,1970,3.45E-04
Mendoza,Argentina,1139081.554,911,CO,1970,0
San Miguel de Tucumán,Argentina,1074939.051,1159,CO,1970,0.152444988
Cordoba,Argentina,1617671.656,1698,CO,1970,3596.953613
Rosario,Argentina,1336722.5,1444,CO,1970,1750.727661
Buenos Aires,Argentina,14984068.9,5376,CO,1970,2.854209661
Yerevan,Armenia,1356806.651,665,CO,1970,21.64580917
Perth,Australia,1676528.559,2972,CO,1970,18610.11133
Adelaide,Australia,1384068.224,4026,CO,1970,4.358421803
Melbourne,Australia,4474593.5,8348,CO,1970,1.260846138
Sydney,Australia,4404986.392,3881,CO,1970,0.290804029
Brisbane,Australia,2150602.637,3144,CO,1970,2.049545765
Vienna,Austria,2381082.929,3104,CO,1970,25.79989243
Baku,Azerbaijan,2741763.271,1210,CO,1970,7.520900726
Manama,Bahrain,1369162.169,670,CO,1970,0.572561443
Rajshahi,Bangladesh,1081657.576,448,CO,1970,4.312491894
Bogura,Bangladesh,1955452.196,1033,CO,1970,4.002081871
Sirajganj,Bangladesh,2631728.466,1310,CO,1970,0.785668194
Tangail,Bangladesh,1485869.019,785,CO,1970,0.144539699
Mymensingh,Bangladesh,1150722.514,484,CO,1970,2.355068207
Khulna,Bangladesh,1408217.825,371,CO,1970,1.758319497
Dhaka,Bangladesh,1721611.743,610,CO,1970,1.068880081
Dhaka,Bangladesh,3075402.547,1377,CO,1970,6.132081985
Dhaka,Bangladesh,20392157.11,3268,CO,1970,32.10131073
Dhaka,Bangladesh,1548886.705,505,CO,1970,3.452069759
Kishoreganj,Bangladesh,1035698.081,550,CO,1970,2.850111961
Brahmanbaria,Bangladesh,2480649.068,1121,CO,1970,18.35806656
Comilla,Bangladesh,8812244.067,4493,CO,1970,29.7089138
Lakshmipur,Bangladesh,1291110.728,632,CO,1970,1.291595697
Sylhet,Bangladesh,1390248.898,503,CO,1970,1.665947914
Chattogram,Bangladesh,5964578.131,1591,CO,1970,3.51710701
Minsk,Belarus,2137264.685,1582,CO,1970,84.31275177
Antwerp,Belgium,1817176.415,2393,CO,1970,18.26262665
Brussels,Belgium,2269665.213,1851,CO,1970,13.44352531
Liège,Belgium,1129391.829,2710,CO,1970,8.772626877
Cotonou,Benin,1828526.291,521,CO,1970,0
El Alto [La Paz],Bolivia,1772263.303,745,CO,1970,0.055683605
Cochabamba,Bolivia,1227385.363,870,CO,1970,0.279477447
Santa Cruz de la Sierra,Bolivia,1762054.234,817,CO,1970,0.067262962
Manaus,Brazil,2080861.009,453,CO,1970,1431.815308
Belém,Brazil,2174968.088,587,CO,1970,22.37355232
Goiânia,Brazil,2248199.073,1842,CO,1970,0.295693994
Ceilândia,Brazil,1973463.719,867,CO,1970,221.8012238
Porto Alegre,Brazil,2907003.908,1373,CO,1970,0
Curitiba,Brazil,3033042.205,1593,CO,1970,1052.33606
Campinas,Brazil,2509882.224,1571,CO,1970,238.2472687
São Paulo,Brazil,21684522.82,6077,CO,1970,4054.178711
São Luís,Brazil,1455771.21,555,CO,1970,0
Santos,Brazil,1712548.224,722,CO,1970,3.466663122
Teresina,Brazil,1036955.52,1028,CO,1970,10.86706257
Belo Horizonte,Brazil,4966926.832,3099,CO,1970,50.26462936
Rio de Janeiro,Brazil,10814391.23,3598,CO,1970,1828.84021
Sao Goncalo,Brazil,1998757.606,1215,CO,1970,3.285411596
Vila Velha,Brazil,1710333.441,911,CO,1970,8.380131721
Fortaleza,Brazil,3611864.227,1557,CO,1970,378.0284119
Salvador,Brazil,3252523.078,623,CO,1970,2.483716726
Maceió,Brazil,1184064.69,682,CO,1970,0.010155362
Natal,Brazil,1321459.966,694,CO,1970,1292.503662
Recife,Brazil,3679510.146,1262,CO,1970,4.666448116
João Pessoa,Brazil,1124050.371,446,CO,1970,8.887996674
Sofia,Bulgaria,1423934.914,1352,CO,1970,6.885378361
Ouagadougou,BurkinaFaso,2813684.249,908,CO,1970,0
Phnom Penh,Cambodia,2140599.395,720,CO,1970,4.094326019
Douala,Cameroon,3002078.173,360,CO,1970,0
Yaounde,Cameroon,3547917.376,572,CO,1970,0
Garoua,Cameroon,1100720.356,91,CO,1970,0.148071751
Vancouver,Canada,2407755.768,1601,CO,1970,1402.635986
Calgary,Canada,1382751.206,2051,CO,1970,3786.029785
Edmonton,Canada,1232005.127,2816,CO,1970,6810.067871
Toronto,Canada,7278248.435,8223,CO,1970,6.683027744
Ottawa,Canada,1277528.023,2325,CO,1970,298.927948
Montreal,Canada,4089586.487,5027,CO,1970,3803.735596
Bangui,CentralAfricanRepublic,1048483.327,155,CO,1970,0
N'Djamena,Chad,1370021.331,258,CO,1970,0
Viña del Mar [Valparaíso],Chile,1008041.394,788,CO,1970,0.24969399
Santiago,Chile,7087659.555,2923,CO,1970,2.017620564
Ürümqi,China,3279549.977,1047,CO,1970,20155.64258
Xining,China,1414920.697,569,CO,1970,8256.987305
Lanzhou,China,2585524.218,871,CO,1970,4585.038574
Yinchuan,China,1704007.098,1012,CO,1970,9.658003807
Baotou,China,2206063.069,638,CO,1970,30.41072464
Hohhot,China,2130821.856,856,CO,1970,46.16378021
Chengdu,China,11749963.15,4034,CO,1970,28.32205391
Mianyang,China,1129793.163,649,CO,1970,1.625310302
Baoji,China,1182083.704,693,CO,1970,13.00625992
Datong,China,1733548.666,827,CO,1970,8.388011932
Kunming,China,3554514.061,1384,CO,1970,4531.451172
Xi'an,China,6576880.035,2083,CO,1970,36.9889183
Taiyuan,China,3818782.528,1065,CO,1970,17.00621796
Chongqing,China,6036834.034,2267,CO,1970,19.13538742
Beijing,China,21279474.48,5536,CO,1970,31.83138657
Shijiazhuang,China,4232106.67,1780,CO,1970,20.35635948
Baoding,China,1697773.419,905,CO,1970,13.99536896
Zunyi,China,1079361.073,511,CO,1970,3.24049592
Guiyang,China,3244349.999,1223,CO,1970,12.318367
Xingtai,China,1111698.43,674,CO,1970,11.12958717
Luoyang,China,2359897.526,1115,CO,1970,6.882842064
Jiaozuo,China,1414484.642,843,CO,1970,9.086287498
Handan,China,1698252.072,856,CO,1970,5.826148033
Tianjin,China,8317096.114,2413,CO,1970,22.11699867
Anyang,China,1562152.211,951,CO,1970,5.629839897
Xinxiang,China,2044707.246,1214,CO,1970,7.46320343
Tangshan,China,2358087.33,1676,CO,1970,25.36429214
Zhengzhou,China,5884051.262,2310,CO,1970,20.12564468
Binhai,China,2004427.099,993,CO,1970,11.28228283
Nanyang,China,1261384.991,878,CO,1970,5.831708431
Pingdingshan,China,1018607.284,435,CO,1970,1.21634829
Harbin,China,4590552.644,1548,CO,1970,21.97472382
Fancheng,China,1401398.912,930,CO,1970,10.66142559
Xuchang,China,1021674.003,657,CO,1970,3.765668392
Yichang,China,1019239.068,639,CO,1970,0.510618627
Qinhuangdao,China,1044685.585,443,CO,1970,9.878829002
Jinzhou,China,1171199.295,575,CO,1970,7.538526535
Luohe,China,1188290.358,852,CO,1970,5.436435699
Jinan,China,4264024.412,1923,CO,1970,11.63910198
Changchun,China,3868822.154,1847,CO,1970,21.97620392
Tai'an,China,1006438.023,562,CO,1970,2.213834524
Shangqiu,China,1136814.744,1005,CO,1970,4.638484955
Shenyang,China,6219708.348,2024,CO,1970,32.81650925
Jining,China,1023093.189,525,CO,1970,2.439169884
Zibo,China,3699954.753,2900,CO,1970,12.6761694
Nanning,China,2818094.814,927,CO,1970,15.53326607
Fushun,China,1470959.826,837,CO,1970,11.81617546
Anshan,China,1846134.212,759,CO,1970,6.358707428
Jilin,China,1690756.194,659,CO,1970,4.068246841
Liuzhou,China,1737108.201,773,CO,1970,6.933979988
Guilin,China,1311446.362,947,CO,1970,6.572627068
Shaoyang,China,1000825.594,567,CO,1970,2.235479355
Weifang,China,1768060.188,1230,CO,1970,10.06379128
Fuyang,China,1100943.668,783,CO,1970,2.714407682
Dalian,China,3668893.679,1290,CO,1970,15.49145508
市中区,China,1670203.656,1572,CO,1970,6.529528141
Wuhan,China,8534060.737,2682,CO,1970,7.928227901
Huaibei,China,1220714.564,607,CO,1970,1.249955297
Xuzhou,China,2483179.901,1607,CO,1970,4.799791336
Linyi,China,2405441.976,1815,CO,1970,16.71870232
Changsha,China,3904010.583,1496,CO,1970,3.416877747
Xiangtan,China,1228014.291,823,CO,1970,4.499286652
Yulin,China,1285290.544,814,CO,1970,7.3109622
Zhuzhou,China,1182940.347,521,CO,1970,0.799355865
Hengyang,China,1340729.874,968,CO,1970,2.436579227
Yantai,China,2046203.979,1522,CO,1970,13.88412666
Tianjia‘an,China,1591003.12,895,CO,1970,1.546099305
Huangshi,China,1403773.443,1089,CO,1970,2.109572411
Bengbu,China,1195820.092,795,CO,1970,3.991584063
Qingdao,China,4856058.042,2542,CO,1970,19.90965652
Huangdao,China,1072374.952,753,CO,1970,2.855526686
Zhanjiang,China,1204127.266,612,CO,1970,10.14702702
Hefei,China,4730879.858,2608,CO,1970,7.725662231
Maoming,China,1031334.507,545,CO,1970,8.315519333
Haikou,China,1920718.475,701,CO,1970,12.17983723
Huai'an,China,1577760.994,868,CO,1970,8.296684265
Nanchang,China,3904839.528,1916,CO,1970,3.466690063
Nanjing,China,6914261.048,2419,CO,1970,7.658288956
Guangzhou,China,16746844.15,4413,CO,1970,45.22691727
Guangzhou,China,4521577.553,2151,CO,1970,20.04348564
Guangzhou,China,1899221.601,681,CO,1970,5.418742657
Guangzhou,China,6730966.448,2458,CO,1970,6.750579357
Guangzhou,China,1393718.24,461,CO,1970,0.827250361
Guangzhou,China,3492565.579,583,CO,1970,1.000161052
Guangzhou,China,2113159.851,247,CO,1970,0.496175259
Guangzhou,China,8742535.916,1573,CO,1970,3.066550732
Wuhu,China,1311748.67,710,CO,1970,2.633352041
花都区,China,1053269.073,542,CO,1970,9.923644066
Yancheng,China,1176341.888,917,CO,1970,2.734298468
Yangzhou,China,1638366.161,958,CO,1970,3.502076626
Ganzhou,China,1008165.431,608,CO,1970,1.158442974
Taizhou,China,1131587.13,867,CO,1970,2.704678535
Zhongshan,China,1353907.841,577,CO,1970,6.064562798
Zhuhai,China,1688793.55,815,CO,1970,8.708116531
Changzhou,China,3486423.012,1506,CO,1970,4.530735493
Jiangyin,China,1258760.898,735,CO,1970,1.223231673
Huizhou,China,2079954.49,974,CO,1970,0.596588016
Suzhou,China,11403059.19,5056,CO,1970,18.49238777
Zhangjiagang,China,1509729.03,717,CO,1970,0.898234367
Nantong,China,2162493.146,1483,CO,1970,3.644795895
Changshu,China,1043190.96,512,CO,1970,0.897452235
Hangzhou,China,9581083.877,4634,CO,1970,11.41031456
Shanghai,China,26920218.16,5878,CO,1970,13.62190819
Jiaxing,China,2487378.094,1515,CO,1970,3.66242218
Jieyang,China,12657025.21,5922,CO,1970,11.58674812
Yiwu,China,1706311.138,966,CO,1970,1.21216774
Yongkang,China,1091385.005,816,CO,1970,2.542002201
Cixi,China,3230913.083,2155,CO,1970,3.828253984
Ningbo,China,3737732.228,1653,CO,1970,3.138063908
Xiamen,China,5142192.429,1702,CO,1970,2.403724909
Fuzhou,China,4203944.631,1516,CO,1970,4.817153454
Quanzhou,China,6446306.909,3186,CO,1970,12.42957497
Wenzhou,China,5211421.132,1415,CO,1970,4.745284081
Putian,China,1521917.592,1042,CO,1970,5.391371727
龙港市,China,1419747.227,497,CO,1970,0.491868973
Yueqing,China,1326399.385,604,CO,1970,0.839800656
Taizhou,China,3202231.156,1582,CO,1970,8.390217781
Cali,Colombia,2390801.636,408,CO,1970,155.1169739
Medellín,Colombia,3610595.164,692,CO,1970,0.19673419
Bogota,Colombia,9080732.021,1863,CO,1970,55.52090836
Barranquilla,Colombia,2073296.026,436,CO,1970,9407.845703
Bucaramanga,Colombia,1054587.122,342,CO,1970,0.065601856
San José,CostaRica,2565528.864,1801,CO,1970,0.75046128
Zagreb,Croatia,1032621.705,1571,CO,1970,16.33285332
Havana,Cuba,2203018.97,976,CO,1970,2764.307861
Prague,CzechRepublic,1879976.611,2897,CO,1970,39.02759933
Abidjan,CotedIvoire,4649772.031,1082,CO,1970,0
Kinshasa,DemocraticRepublicoftheCongo,5764312.319,591,CO,1970,0.430600882
Kananga,DemocraticRepublicoftheCongo,1018036.095,125,CO,1970,0
Mbuji-Mayi,DemocraticRepublicoftheCongo,3126644.837,213,CO,1970,0
Lubumbashi,DemocraticRepublicoftheCongo,2303799.003,435,CO,1970,2.51E-05
Beni,DemocraticRepublicoftheCongo,1512870.289,80,CO,1970,0.001523318
Copenhagen,Denmark,1987482.455,3406,CO,1970,19.93959236
Santo Domingo,DominicanRepublic,4248976.1,1582,CO,1970,10390.50684
Guayaquil,Ecuador,2857865.396,1016,CO,1970,0.851260066
Quito,Ecuador,2659133.126,1394,CO,1970,5858.381836
Alexandria,Egypt,5860478.167,1198,CO,1970,6.497563839
Faiyum,Egypt,2367343.89,1042,CO,1970,6.371779919
Tanta,Egypt,1453549.731,442,CO,1970,4.017978668
Cairo,Egypt,23490198.36,4348,CO,1970,27.15361786
Al-Minya,Egypt,1441242.928,515,CO,1970,1.250653982
Mansoura,Egypt,6114874.27,2035,CO,1970,9.850344658
Al-Zaqaziq‎,Egypt,1199687.437,294,CO,1970,0.81268549
An Nazlah,Egypt,1674900.693,676,CO,1970,4.410615921
Asyut,Egypt,2694393.601,924,CO,1970,9.475405693
Sohag,Egypt,2382149.762,726,CO,1970,5.755753517
Girga,Egypt,2371731.019,953,CO,1970,7.86719656
Luxor,Egypt,2468478.111,736,CO,1970,20.20417404
San Salvador,ElSalvador,2661755.757,2004,CO,1970,0.051968019
Addis Ababa,Ethiopia,3968807.408,810,CO,1970,0.104499169
Helsinki,Finland,1409994.036,3066,CO,1970,5.637403488
Bordeaux,France,1045640.529,2165,CO,1970,25.76343536
Toulouse,France,1264262.566,3321,CO,1970,25.74463463
Paris,France,11236407.13,6778,CO,1970,37.35345078
Lille,France,1205007.577,966,CO,1970,3.354809284
Lyon,France,2056576.036,3516,CO,1970,35.9954071
Marseille,France,1357310.645,1599,CO,1970,18.67310905
Nice,France,1206197.92,2109,CO,1970,14.93023586
Tbilisi,Georgia,1150902.964,321,CO,1970,1.705108643
Dortmund,Germany,5837624.695,6303,CO,1970,43.03583145
Dusseldorf,Germany,1003149.106,661,CO,1970,2.99113965
Cologne,Germany,3178671.816,3263,CO,1970,15.69143867
Mannheim,Germany,1695402.917,2160,CO,1970,14.13152504
Frankfurt am Main,Germany,3025700.469,3323,CO,1970,39.44760513
Stuttgart,Germany,2234166.177,2159,CO,1970,13.78089428
Hanover,Germany,1111169.521,1883,CO,1970,11.45768833
Hamburg,Germany,2686299.776,3206,CO,1970,36.57723236
Nuremberg,Germany,1230838.86,1874,CO,1970,13.92847633
Munich,Germany,2435209.287,2638,CO,1970,33.50354004
Berlin,Germany,4290482.744,3572,CO,1970,20.13174629
Kumasi,Ghana,3234531.771,1029,CO,1970,0
Accra,Ghana,4786265.398,1934,CO,1970,0
Thessaloniki,Greece,1041904.908,1107,CO,1970,6.222650528
Athens,Greece,3747423.879,2246,CO,1970,24.93048477
Guatemala City,Guatemala,3464817.451,1421,CO,1970,0
Conakry,Guinea,2533177.458,709,CO,1970,0.012327404
Port-au-Prince,Haiti,2847436.081,508,CO,1970,0.292360157
Tegucigalpa,Honduras,1148517.185,862,CO,1970,0.340690106
Hong Kong,HongKong,5845663.067,684,CO,1970,0.277313143
Sha Tin,HongKong,1303459.23,282,CO,1970,0.057459686
Budapest,Hungary,2822154.572,4197,CO,1970,28.74298286
Srinagar,India,1298095.017,402,CO,1970,787.1132202
Jammu,India,1155695.869,345,CO,1970,1947.837402
Rajkot,India,1454166.416,323,CO,1970,0.626092255
Amritsar,India,1348034.974,431,CO,1970,1681.636841
Jodhpur,India,1553529.958,408,CO,1970,43.1447258
Jalandhar,India,1193165.847,369,CO,1970,1540.594116
Ahmedabad,India,7293273.589,1133,CO,1970,0.409333318
Ludhiana,India,2130483.697,627,CO,1970,2599.165527
Surat,India,5704834.35,680,CO,1970,0.009144742
Vadodara,India,2280235.373,591,CO,1970,0.014237048
Chandigarh,India,2513988.318,769,CO,1970,5928.955078
Silvassa,India,1139259.609,374,CO,1970,15.84117889
Vasai-Virar,India,1487095.458,292,CO,1970,4.669279099
Mumbai,India,22277275.07,2367,CO,1970,15.94855118
Jaipur,India,4070557.213,799,CO,1970,1028.450684
Delhi [New Delhi],India,30076707.75,5569,CO,1970,3052.588379
Saharanpur,India,1260280.286,225,CO,1970,1609.251953
Nashik,India,1897850.971,485,CO,1970,13.14548111
Dehradun,India,1157124.995,284,CO,1970,1368.196045
Kota,India,1147922.819,287,CO,1970,291.8606873
Pune,India,7292984.881,1558,CO,1970,17.64602852
Haridwar,India,1056634.655,361,CO,1970,2337.750977
Meerut,India,2422104.313,577,CO,1970,0.781410873
Indore,India,3288988.097,809,CO,1970,1455.102295
Kolhapur,India,1055484.07,279,CO,1970,0.024363834
Aligarh,India,1749764.904,338,CO,1970,1.27332449
Moradabad,India,1842998.238,420,CO,1970,4.40501976
Agra,India,2737028.22,535,CO,1970,166.6454163
Aurangabad,India,1861221.885,345,CO,1970,84.63895416
Sangli,India,1027678.637,225,CO,1970,0
Gwalior,India,1602739.67,232,CO,1970,0.562265337
Bareilly,India,1761174.35,294,CO,1970,386.4812927
Bhopal,India,2239295.73,500,CO,1970,614.8703613
Mangaluru,India,1574536.591,764,CO,1970,0.523511291
Solapur,India,1145587.297,280,CO,1970,0.943107963
Farrukhabad,India,1028592.723,76,CO,1970,127.6843033
Shahjahanpur,India,1044912.378,218,CO,1970,1.305862904
Kannur,India,1602872.645,754,CO,1970,0.872769475
Hardoi,India,1195723.57,52,CO,1970,115.2310333
Thalassery,India,1480750.513,610,CO,1970,0
Kozhikode,India,2598494.423,993,CO,1970,10.12500095
Guruvayur,India,2981880.877,1571,CO,1970,0.572159946
Malappuram,India,1166411.943,611,CO,1970,1.187031388
Lakhimpur,India,1001347.212,55,CO,1970,258.6044617
Kanpur,India,4341524.85,807,CO,1970,1469.988525
Lucknow,India,5244876.156,1203,CO,1970,9898.283203
Mysuru,India,1460486.325,377,CO,1970,0
Kochi,India,4079939.196,2029,CO,1970,0.046077821
Nagpur,India,3187285.474,835,CO,1970,15443.99219
Kollam,India,2802508.962,1540,CO,1970,0.309647381
Jabalpur,India,1706855.623,362,CO,1970,54.05311203
Ettumanoor,India,1314887.258,699,CO,1970,0
Hyderabad,India,8859344.664,1904,CO,1970,1441.876709
Coimbatore,India,2672462.042,1076,CO,1970,10.34520149
Bengaluru,India,11934852.47,2054,CO,1970,3.875154257
Gonda,India,1074099.876,66,CO,1970,837.5002441
Thiruvananthapuram,India,2850517.817,1078,CO,1970,0.073131286
Tiruppur,India,1537199.414,569,CO,1970,4.827014446
Faizabad,India,1955325.891,395,CO,1970,2671.043457
Sultanpur,India,1243185.486,103,CO,1970,2806.598877
Erode,India,1582499.266,579,CO,1970,0
Prayagraj,India,3244738.058,349,CO,1970,1002.720398
Salem,India,1831357.1,518,CO,1970,0.429366052
Madurai,India,2033424.922,388,CO,1970,0.022584898
Gorakhpur,India,2186425.928,506,CO,1970,0.101082049
Tiruchirappalli,India,1389313.673,404,CO,1970,5.407969952
Varanasi,India,5147432.437,1417,CO,1970,0.239379674
Durg,India,1235052.616,331,CO,1970,1700.978271
Vellore,India,1342765.622,497,CO,1970,0.265246749
Raipur,India,1590781.072,504,CO,1970,3275.864502
Bilaspur,India,1010597.507,299,CO,1970,798.1674194
Kuchai Kot,India,1628994.827,823,CO,1970,0.102132984
Vijayawada,India,1551704.548,314,CO,1970,4.65708065
Puducherry,India,1008954.188,274,CO,1970,0.055454068
Chennai,India,10577189.25,2070,CO,1970,5.856138229
Muzaffarpur,India,1953556.401,621,CO,1970,23.96980095
Patna,India,3062410.201,316,CO,1970,0.449117035
Gaya,India,1042313.279,188,CO,1970,0.123057693
Visakhapatnam,India,1889151.911,443,CO,1970,383.9552917
Begusarai,India,1150857.224,249,CO,1970,0.025463598
Ranchi,India,1789434.178,459,CO,1970,0
Dhanbad,India,2233108.224,755,CO,1970,0.055887837
Jamshedpur,India,1807392.369,265,CO,1970,0.331449956
Asansol,India,3483728.879,818,CO,1970,0.105512157
Bhubaneshwar,India,1156974.193,301,CO,1970,0.690816462
Berhampore,India,1585052.492,427,CO,1970,0.057998724
Tamluk,India,2162558.018,900,CO,1970,4.774995804
Kolkata,India,23129019.57,4586,CO,1970,10.99195385
Kolkata,India,1506343.549,651,CO,1970,0.2224323
Guwahati,India,1380917.206,521,CO,1970,10.494977
Imphal,India,1102315.384,609,CO,1970,3.722097158
Medan,Indonesia,4546313.155,1723,CO,1970,0.003593107
Padang,Indonesia,1034213.236,392,CO,1970,1189.489746
Pekanbaru,Indonesia,1092048.946,631,CO,1970,167.4363861
Batam City,Indonesia,1034146.55,331,CO,1970,156.4442749
Palembang,Indonesia,2010909.398,625,CO,1970,14.19234085
Bandar Lampung,Indonesia,1373041.538,484,CO,1970,25.82111549
Jakarta,Indonesia,3777015.477,1298,CO,1970,12.51775837
Jakarta,Indonesia,29753582.45,5292,CO,1970,2.737147331
Jakarta,Indonesia,1651451.858,657,CO,1970,0.706891418
Jakarta,Indonesia,1727806.558,617,CO,1970,0.090748154
Jakarta,Indonesia,2898313.046,1737,CO,1970,1.027345777
Bandung,Indonesia,9310750.844,2312,CO,1970,11.3712616
Garut,Indonesia,2043805.038,710,CO,1970,18.38607979
Tasikmalaya,Indonesia,2456059.973,1130,CO,1970,44.43543243
Cirebon,Indonesia,2725179.943,1225,CO,1970,1.354199767
Tegal,Indonesia,3454395.572,1565,CO,1970,54.1340332
Purwokerto,Indonesia,3050149.124,1735,CO,1970,28.484375
Pekalongan,Indonesia,1530751.901,668,CO,1970,16.73843956
Temanggung,Indonesia,1017174.152,682,CO,1970,170.4270477
Semarang,Indonesia,4086893.982,2082,CO,1970,77.1554718
Yogyakarta,Indonesia,7463686.599,4298,CO,1970,37.09918213
Magelang,Indonesia,1046216.253,632,CO,1970,27.27607727
Pati,Indonesia,2363946.103,1420,CO,1970,42.39289093
Madiun,Indonesia,1678612.452,1155,CO,1970,3.398755312
Jombang,Indonesia,4479675.363,2768,CO,1970,18.55465317
Mojokerto,Indonesia,1084952.269,606,CO,1970,22.98202133
Surabaya,Indonesia,10752964.44,4278,CO,1970,125.6627655
Jember,Indonesia,2041651.872,1290,CO,1970,0.53034687
Denpasar,Indonesia,2478880.69,1032,CO,1970,1.252476335
Banjarmasin,Indonesia,1360146.279,706,CO,1970,16.83624268
Mataram,Indonesia,1287364.873,634,CO,1970,5763.814941
Samarinda,Indonesia,1114038.753,495,CO,1970,4.228857994
Makassar,Indonesia,2508648.686,945,CO,1970,33.54826355
Tabriz,Iran,1839113.717,892,CO,1970,12.89809036
Kermanshah,Iran,1054613.31,249,CO,1970,4.252662182
Ahwaz,Iran,1391063.809,588,CO,1970,1.975094557
Tehran,Iran,13408679.7,3332,CO,1970,78.2828598
Qom,Iran,1062501.839,260,CO,1970,6.180125713
Isfahan,Iran,2515160.315,1031,CO,1970,4.653393269
Shiraz,Iran,1493433.009,578,CO,1970,0.558996618
Mashhad,Iran,3181980.715,830,CO,1970,13905.34668
Mosul,Iraq,1218694.949,453,CO,1970,4.060171127
Erbil,Iraq,1461345.916,725,CO,1970,17.31884193
Baghdad,Iraq,6245609.021,2252,CO,1970,57.55703735
Najaf,Iraq,1070856.906,189,CO,1970,2.984403372
Ad Diwaniyah,Iraq,1068653.113,200,CO,1970,2.685965061
Basra,Iraq,1620042.708,370,CO,1970,4.496312141
Dublin,Ireland,1596285.053,2245,CO,1970,145.6639862
Tel Aviv,Israel,2805937.201,1102,CO,1970,7.793047428
Turin,Italy,1784834.156,1708,CO,1970,12.84233856
Milan,Italy,5121995.63,3393,CO,1970,28.20634842
Rome,Italy,3501925.083,2696,CO,1970,22.22245598
Naples,Italy,4054332.827,2318,CO,1970,13.73015118
Kingston,Jamaica,1134768.967,742,CO,1970,7188.933594
Sapporo,Japan,2222113.479,1544,CO,1970,16.52511024
Fukuoka,Japan,2998820.908,1938,CO,1970,7.49855566
Kitakyushu,Japan,1589886.371,1535,CO,1970,8.117432594
Kumamoto,Japan,1068107.62,1123,CO,1970,4.438102245
Hiroshima,Japan,1633746.738,1553,CO,1970,7.563700199
Okayama,Japan,1417356.739,1816,CO,1970,7.770768166
Osaka [Kyoto],Japan,17621765.59,10090,CO,1970,48.55274582
Naha,Japan,1160096.73,691,CO,1970,8.4862957
Nagoya,Japan,9590442.436,7350,CO,1970,32.60842133
Sendai,Japan,1517061.182,1419,CO,1970,8.510842323
Takasaki [Maebashi],Japan,2237876.446,2717,CO,1970,21.63573837
Hamamatsu,Japan,1099104.775,1219,CO,1970,4.31257391
Tokyo,Japan,36471786.91,11971,CO,1970,83.10326385
Shizuoka,Japan,1153826.266,1120,CO,1970,6.098846912
Amman,Jordan,4123100.493,1598,CO,1970,6.554028034
Almaty,Kazakhstan,2043997.183,956,CO,1970,3146.724854
Nairobi,Kenya,4712493.997,859,CO,1970,0
Mombasa,Kenya,1104262.8,289,CO,1970,0
Kuwait City,Kuwait,3631546.888,1147,CO,1970,16.2424202
Bishkek,Kyrgyzstan,1179392.014,389,CO,1970,4124.126953
Beirut,Lebanon,2813753.445,868,CO,1970,3.421162128
Monrovia,Liberia,1482214.912,451,CO,1970,0
Tripoli,Libya,1525385.722,1222,CO,1970,3.27741766
Antananarivo,Madagascar,2386441.865,448,CO,1970,0
Lilongwe,Malawi,1022605.26,338,CO,1970,0.037052702
Bukit Mertajam,Malaysia,1009439.486,685,CO,1970,0.613727689
Kuala Lumpur,Malaysia,7481102.847,3314,CO,1970,6.357303143
Singapore,Malaysia,1858307.146,1307,CO,1970,2579.878418
Bamako,Mali,3290547.461,700,CO,1970,0.131975189
Nouakchott,Mauritania,1140832.145,235,CO,1970,0.007991653
Tijuana,Mexico,1835120.041,621,CO,1970,238.1340027
Guadalajara,Mexico,5184364.547,1968,CO,1970,19909.41016
Aguascalientes,Mexico,1058599.667,727,CO,1970,1979.148926
León,Mexico,1640517.238,759,CO,1970,4376.795898
Torreon,Mexico,1306482.011,1318,CO,1970,3428.880615
Querétaro,Mexico,1237258.544,1190,CO,1970,7940.943848
Ciudad Juárez,Mexico,1365142.878,994,CO,1970,18940.50195
San Luis Potosí,Mexico,1204447.638,1193,CO,1970,3949.0271
Toluca,Mexico,2451377.649,2016,CO,1970,2265.55957
Cuernavaca,Mexico,1158093.309,970,CO,1970,762.5253296
Mexico City,Mexico,21410705.86,4831,CO,1970,5325.242676
Puebla,Mexico,3431638.48,2350,CO,1970,21291.09961
Monterrey,Mexico,4521204.929,1849,CO,1970,7936.183105
Mérida,Mexico,1088364.605,858,CO,1970,0.153393164
Ulaanbaatar,Mongolia,1360931.832,383,CO,1970,16.72675514
Agadir,Morocco,1122995.087,430,CO,1970,2.174816132
Marrakesh,Morocco,1135407.406,405,CO,1970,1.574486971
Casablanca,Morocco,4377455.14,915,CO,1970,10.13461494
Rabat,Morocco,2082985.9,636,CO,1970,3.20924449
Tangier,Morocco,1034031.23,306,CO,1970,0.108381703
Fez,Morocco,1282846.772,419,CO,1970,2.635270357
Maputo,Mozambique,2579017.687,690,CO,1970,0
Mandalay,Myanmar,2078198.489,705,CO,1970,809.3257446
Yangon,Myanmar,6143161.518,1321,CO,1970,0.077816866
Kathmandu,Nepal,3679117.867,488,CO,1970,7.539025784
Rotterdam [The Hague],Netherlands,3494348.384,2943,CO,1970,2.640920639
Amsterdam,Netherlands,1929349.974,1294,CO,1970,0.945370913
